"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000280","GO:0000280","nuclear division","85/1308","422/18842",0.201421800947867,2.90152108062669,10.7901604490936,2.1441815643366e-19,9.74959357303854e-16,9.74959357303854e-16,"KIF18A/CENPA/RACGAP1/SPC25/UHRF1/RAD51AP1/TDRD12/BIRC5/CDCA2/STRA8/ASZ1/PSRC1/KNL1/MKI67/MYBL1/KIF4B/HORMAD1/MAEL/ESPL1/SGO1/CDC20/CENPI/SPC24/DMRT1/DNMT3L/TRIP13/CENPF/AURKB/PTTG1/MAPK15/TTK/SPAG5/BRCA2/MAD2L1/PRC1/CCNA1/KIF4A/BUB1/SKA1/PKMYT1/AURKA/CCNB1/CDT1/SGO2/CDK1/KIF15/KIF18B/UBE2S/PLK1/CENPK/BRIP1/TEX15/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/MND1/CHEK1/TPX2/BUB1B/HASPIN/KIF2C/PTTG3P/RAD54L/TEX19/KIF14/FBXO43/SMC4/UBE2C/ANKLE1/KIFC1/DLGAP5/CDC25C/ANLN/CENPE/SKA3/RAD54B/NUF2/EME1/NEK2/RAD51/TOP2A",85
"GO:0048285","GO:0048285","organelle fission","86/1308","470/18842",0.182978723404255,2.63584488255579,9.80907772919742,6.77028691600823e-17,1.53922473035447e-13,1.53922473035447e-13,"KIF18A/CENPA/RACGAP1/MTFR2/SPC25/UHRF1/RAD51AP1/TDRD12/BIRC5/CDCA2/STRA8/ASZ1/PSRC1/KNL1/MKI67/MYBL1/KIF4B/HORMAD1/MAEL/ESPL1/SGO1/CDC20/CENPI/SPC24/DMRT1/DNMT3L/TRIP13/CENPF/AURKB/PTTG1/MAPK15/TTK/SPAG5/BRCA2/MAD2L1/PRC1/CCNA1/KIF4A/BUB1/SKA1/PKMYT1/AURKA/CCNB1/CDT1/SGO2/CDK1/KIF15/KIF18B/UBE2S/PLK1/CENPK/BRIP1/TEX15/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/MND1/CHEK1/TPX2/BUB1B/HASPIN/KIF2C/PTTG3P/RAD54L/TEX19/KIF14/FBXO43/SMC4/UBE2C/ANKLE1/KIFC1/DLGAP5/CDC25C/ANLN/CENPE/SKA3/RAD54B/NUF2/EME1/NEK2/RAD51/TOP2A",86
"GO:0019730","GO:0019730","antimicrobial humoral response","49/1308","189/18842",0.259259259259259,3.73468116434477,10.3199739729712,3.33797955345702e-16,5.05926434318969e-13,5.05926434318969e-13,"H2BC6/CXCL11/CAMP/PGLYRP3/IGHE/CXCL5/IGHG1/CCL7/IGHG3/H2BC11/H2BC7/BPI/PGLYRP4/H2BC26/CCL25/F2/H2BC13/CCL17/H2BC17/CXCL10/REG1A/ACOD1/IL17F/KRT6A/PI3/CCL11/IL36RN/S100A7/H2BC18/IGHG2/H2BC3/LYZ/DEFB126/H2BC8/PRSS3/CALCA/H2BC9/S100A9/PRSS2/IGHG4/H2BC10/NPY/H2BC12/CCL1/H2BC14/CXCL9/CCL20/HTN1/CXCL8",49
"GO:0007059","GO:0007059","chromosome segregation","77/1308","420/18842",0.183333333333333,2.64095310907238,9.28897454935208,2.68894763441557e-15,2.70659301540345e-12,2.70659301540345e-12,"KIF18A/CENPA/RACGAP1/STIL/SPC25/UHRF1/CDC6/BIRC5/CDCA2/PSRC1/CENPL/KNL1/ECT2/MKI67/LOC100533997/GPSM2/KIF4B/HORMAD1/ESPL1/SGO1/CDC20/TACC3/CENPI/SPC24/TRIP13/CENPF/AURKB/CENPO/PTTG1/MAPK15/TTK/SPAG5/MAD2L1/PRC1/KIF4A/BUB1/HJURP/SKA1/CENPW/CCNB1/CDT1/CENPU/SGO2/CDK1/KIF15/KIF18B/PLK1/CENPK/TEX15/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/MND1/RAD21L1/CENPN/TPX2/BUB1B/HASPIN/KIF2C/PTTG3P/KIF14/SMC4/UBE2C/KIFC1/RMI2/DLGAP5/CENPM/CENPE/SACK1D/SKA3/NUF2/NEK2/TOP2A",77
"GO:0140014","GO:0140014","mitotic nuclear division","60/1308","281/18842",0.213523131672598,3.07584315517973,9.57551975533775,2.97624039520942e-15,2.70659301540345e-12,2.70659301540345e-12,"KIF18A/CENPA/RACGAP1/SPC25/UHRF1/BIRC5/CDCA2/PSRC1/KNL1/MKI67/KIF4B/ESPL1/CDC20/CENPI/SPC24/DMRT1/TRIP13/CENPF/AURKB/TTK/SPAG5/MAD2L1/PRC1/KIF4A/BUB1/SKA1/PKMYT1/AURKA/CCNB1/CDT1/CDK1/KIF15/KIF18B/UBE2S/PLK1/CENPK/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/CHEK1/TPX2/BUB1B/HASPIN/KIF2C/KIF14/FBXO43/SMC4/UBE2C/KIFC1/DLGAP5/CDC25C/ANLN/CENPE/SKA3/NUF2/NEK2",60
"GO:0098813","GO:0098813","nuclear chromosome segregation","64/1308","315/18842",0.203174603174603,2.92677054511917,9.41885411574895,4.34436715263239e-15,3.29230624050325e-12,3.29230624050325e-12,"KIF18A/CENPA/RACGAP1/SPC25/UHRF1/CDC6/BIRC5/PSRC1/KNL1/ECT2/KIF4B/HORMAD1/ESPL1/SGO1/CDC20/TACC3/CENPI/SPC24/TRIP13/CENPF/AURKB/PTTG1/MAPK15/TTK/SPAG5/MAD2L1/PRC1/KIF4A/BUB1/SKA1/CCNB1/CDT1/SGO2/CDK1/KIF15/KIF18B/PLK1/CENPK/TEX15/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/MND1/TPX2/BUB1B/HASPIN/KIF2C/PTTG3P/KIF14/SMC4/UBE2C/KIFC1/RMI2/DLGAP5/CENPE/SACK1D/SKA3/NUF2/NEK2/TOP2A",64
"GO:0000070","GO:0000070","mitotic sister chromatid segregation","49/1308","205/18842",0.239024390243902,3.44319385395689,9.60643394420978,1.07971625409429e-14,7.01352829623819e-12,7.01352829623819e-12,"KIF18A/CENPA/RACGAP1/SPC25/UHRF1/BIRC5/PSRC1/KNL1/KIF4B/ESPL1/CDC20/CENPI/SPC24/TRIP13/CENPF/AURKB/TTK/SPAG5/MAD2L1/PRC1/KIF4A/BUB1/SKA1/CCNB1/CDT1/CDK1/KIF15/KIF18B/PLK1/CENPK/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/TPX2/BUB1B/HASPIN/KIF2C/KIF14/SMC4/UBE2C/KIFC1/DLGAP5/CENPE/SKA3/NUF2",49
"GO:0006334","GO:0006334","nucleosome assembly","35/1308","113/18842",0.309734513274336,4.46178723173933,10.08086141408,1.74324325637494e-14,9.90815885842108e-12,9.90815885842108e-12,"H3C7/H3C11/H2BC6/H3C1/H3C10/H1-5/H4C12/H3C8/H3C2/H4C9/H2BC11/H1-1/H2BC7/ATAD2/H4C5/CHAF1B/H2BC13/H1-6/H4C14/H3C12/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H1-3/ASF1B/H2BC10/H3C3/H4C2/H2BC14/H4C3",35
"GO:0000819","GO:0000819","sister chromatid segregation","54/1308","246/18842",0.219512195121951,3.16211680465429,9.32292698051679,2.19149127315181e-14,1.10719009100237e-11,1.10719009100237e-11,"KIF18A/CENPA/RACGAP1/SPC25/UHRF1/CDC6/BIRC5/PSRC1/KNL1/KIF4B/ESPL1/CDC20/TACC3/CENPI/SPC24/TRIP13/CENPF/AURKB/MAPK15/TTK/SPAG5/MAD2L1/PRC1/KIF4A/BUB1/SKA1/CCNB1/CDT1/CDK1/KIF15/KIF18B/PLK1/CENPK/KIF11/CDCA8/KIF23/ZWINT/NCAPG/NDC80/NCAPH/TPX2/BUB1B/HASPIN/KIF2C/KIF14/SMC4/UBE2C/KIFC1/RMI2/DLGAP5/CENPE/SKA3/NUF2/TOP2A",54
"GO:0006959","GO:0006959","humoral immune response","60/1308","296/18842",0.202702702702703,2.9199727250186,9.09350128845468,3.52298093337332e-14,1.60189943040485e-11,1.60189943040485e-11,"MS4A1/H2BC6/CR1L/CXCL11/FOXJ1/CAMP/PGLYRP3/IGHE/CXCL5/IGHG1/CCL7/IGHG3/IFNB1/H2BC11/H2BC7/BPI/PGLYRP4/H2BC26/CCL25/F2/H2BC13/CCL17/H2BC17/IFNA10/CXCL10/REG1A/ACOD1/IL17F/KRT6A/PI3/CCR7/CCL11/ZP4/IL36RN/S100A7/IFNG/H2BC18/CFHR4/IGHG2/H2BC3/LYZ/DEFB126/H2BC8/PRSS3/CALCA/H2BC9/S100A9/PRSS2/PDCD1/IGHG4/H2BC10/NPY/H2BC12/CCL1/CR2/H2BC14/CXCL9/CCL20/HTN1/CXCL8",60
