"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0000786","GO:0000786","nucleosome","46/1404","117/19979",0.393162393162393,5.59472325711642,13.7036402161352,2.82491318630111e-23,1.5311029469752e-20,1.5311029469752e-20,"CENPA/H3C7/H3C11/H2BC6/H3C1/H3C10/H2AC11/H1-5/H2AC13/H4C12/H3C8/H3C2/H4C9/H2BC11/H1-1/H2BC7/H4C5/H2AC16/H2BC26/H2AC4/H2BC13/H1-6/H2BC17/H4C14/H2AC17/H2AC12/H3C12/H2BC18/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H1-3/H2AC20/H2BC10/H3C3/H4C2/H2BC12/H2AC25/H2BC14/H4C3/H2AZ1",46
"GO:0032993","GO:0032993","protein-DNA complex","61/1404","226/19979",0.269911504424779,3.8408560875375,11.8081556314476,1.59850121945268e-20,4.33193830471677e-18,4.33193830471677e-18,"CENPA/H3C7/H3C11/H2BC6/GINS2/NKX2-5/H3C1/H3C10/H2AC11/H1-5/H2AC13/CDC45/H4C12/HOXA11/H3C8/H3C2/ST18/H4C9/H2BC11/H1-1/H2BC7/H4C5/DONSON/H2AC16/H2BC26/H2AC4/H2BC13/H1-6/GINS1/H2BC17/H4C14/H2AC17/H2AC12/H3C12/MCM2/H2BC18/HMGA2/H2AX/H4C13/GINS4/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/MCM4/H1-3/H2AC20/TONSL/H2BC10/H3C3/H4C2/H2BC12/SLC5A8/H2AC25/H2BC14/TERT/H4C3/H2AZ1/RAD51",61
"GO:0098687","GO:0098687","chromosomal region","76/1404","417/19979",0.182254196642686,2.59348760307993,9.04076616144577,1.14652259909627e-14,2.07138416236726e-12,2.07138416236726e-12,"KIF18A/CENPA/SPC25/ALYREF/RAD51AP1/SMC1B/BIRC5/BLM/CENPL/KNL1/ERCC6L/SGO1/CDC20/H4C12/CENPI/SPC24/DSCC1/HELLS/CENPF/H4C9/AURKB/CENPO/TTK/SPAG5/H4C5/BRCA2/MAD2L1/BUB1/HJURP/SKA1/H4C14/AURKA/CENPW/CCNB1/CDCA5/CDT1/CENPU/SGO2/CDK1/PLK1/CENPK/DNA2/ORC1/CDCA8/MCM2/FEN1/H2AX/H4C13/ZWINT/NCAPG/H2BC3/NDC80/H4C8/CHEK1/CENPN/H4C4/H4C1/BUB1B/MCM4/KIF2C/SMC4/H4C2/PIF1/EZH2/OIP5/RECQL4/CENPM/CENPE/SKA3/NUF2/TERT/H4C3/NEK2/RAD51/ESCO2/TOP2A",76
"GO:0000940","GO:0000940","outer kinetochore","13/1404","20/19979",0.65,9.24953703703704,10.1477633912812,4.70006207180654e-11,6.36858410729786e-09,6.36858410729786e-09,"SPC25/KNL1/SPC24/CENPF/BUB1/SKA1/CCNB1/PLK1/ZWINT/NDC80/BUB1B/SKA3/NUF2",13
"GO:0000775","GO:0000775","chromosome, centromeric region","49/1404","257/19979",0.190661478599222,2.71312370436884,7.59932390772379,1.22969890990477e-10,1.15648910955444e-08,1.15648910955444e-08,"KIF18A/CENPA/SPC25/SMC1B/BIRC5/CENPL/KNL1/ERCC6L/SGO1/CDC20/CENPI/SPC24/DSCC1/HELLS/CENPF/AURKB/CENPO/TTK/SPAG5/MAD2L1/BUB1/HJURP/SKA1/AURKA/CENPW/CCNB1/CDCA5/CDT1/CENPU/SGO2/PLK1/CENPK/CDCA8/ZWINT/NCAPG/NDC80/CENPN/BUB1B/KIF2C/SMC4/EZH2/OIP5/CENPM/CENPE/SKA3/NUF2/NEK2/ESCO2/TOP2A",49
"GO:0000793","GO:0000793","condensed chromosome","53/1404","291/19979",0.18213058419244,2.59172859086948,7.51986178668272,1.28024624673923e-10,1.15648910955444e-08,1.15648910955444e-08,"KIF18A/CENPA/SPC25/SMC1B/BIRC5/BLM/CDCA2/KNL1/ERCC6L/MKI67/CDX2/HORMAD1/SGO1/CDC20/CENPI/SPC24/DNMT3L/CENPF/AURKB/CENPO/TTK/SPAG5/BRCA2/MAD2L1/BUB1/HJURP/SKA1/AURKA/CENPW/CCNB1/CDT1/CENPU/SGO2/PLK1/CENPK/H2AX/ZWINT/NCAPG/NDC80/NCAPH/CHEK1/CENPN/FAM9A/BUB1B/KIF2C/SMC4/CENPM/CENPE/SKA3/NUF2/NEK2/RAD51/TOP2A",53
"GO:0000776","GO:0000776","kinetochore","37/1404","179/19979",0.206703910614525,2.9414084260453,7.17308500742189,2.29029252287598e-09,1.77334078199826e-07,1.77334078199826e-07,"KIF18A/CENPA/SPC25/BIRC5/KNL1/ERCC6L/SGO1/CDC20/CENPI/SPC24/CENPF/AURKB/CENPO/TTK/SPAG5/MAD2L1/BUB1/HJURP/SKA1/AURKA/CENPW/CCNB1/CDT1/CENPU/SGO2/PLK1/CENPK/ZWINT/NDC80/CENPN/BUB1B/KIF2C/CENPM/CENPE/SKA3/NUF2/NEK2",37
"GO:0000779","GO:0000779","condensed chromosome, centromeric region","38/1404","190/19979",0.2,2.8460113960114,7.02901388210263,3.68781691930462e-09,2.49849596282888e-07,2.49849596282888e-07,"KIF18A/CENPA/SPC25/BIRC5/KNL1/ERCC6L/SGO1/CDC20/CENPI/SPC24/CENPF/AURKB/CENPO/TTK/SPAG5/MAD2L1/BUB1/HJURP/SKA1/AURKA/CENPW/CCNB1/CDT1/CENPU/SGO2/PLK1/CENPK/ZWINT/NCAPG/NDC80/CENPN/BUB1B/KIF2C/CENPM/CENPE/SKA3/NUF2/NEK2",38
"GO:0072686","GO:0072686","mitotic spindle","29/1404","169/19979",0.171597633136095,2.44184409716954,5.17505018135814,6.57095368119626e-06,0.00034735250888417,0.00034735250888417,"KIF18A/RACGAP1/ECT2/GPSM2/ESPL1/SHCBP1/AURKB/CDC7/SPAG5/MAD2L1/PRC1/KIF20A/CKAP2L/SKA1/AURKA/CDK1/ASPM/KIF18B/PLK1/KIF11/KIF23/TPX2/KIFC1/DLGAP5/CENPE/SACK1D/SKA3/TUBB4A/TUBB3",29
"GO:0051233","GO:0051233","spindle midzone","12/1404","38/19979",0.315789473684211,4.49370220422852,5.92651465317463,6.72643237992688e-06,0.00034735250888417,0.00034735250888417,"KIF18A/RACGAP1/CDC6/BIRC5/AURKB/PRC1/AURKA/KIF18B/PLK1/CDCA8/KIF14/CENPE",12
"GO:0005819","GO:0005819","spindle","56/1404","433/19979",0.12933025404157,1.84037688425679,4.86053691702414,7.04958966370087e-06,0.00034735250888417,0.00034735250888417,"KIF18A/RACGAP1/UHRF1/CDC6/DIAPH3/WDR62/BIRC5/PSRC1/ECT2/AUNIP/CSAG1/GPSM2/ESPL1/SGO1/CDC20/TACC3/CDC25B/CENPF/SHCBP1/AURKB/CDC7/MAPK15/TTK/SPAG5/MAD2L1/PRC1/KIF4A/KIF20A/CKAP2L/SKA1/AURKA/CCNB1/CDK1/ASPM/KIF15/KIF18B/PLK1/KIF11/CDCA8/KIF23/TPX2/BUB1B/HASPIN/KIF2C/KIF14/KPNA7/KIFC1/DLGAP5/HMMR/CENPE/SACK1D/SKA3/TUBB4A/NEK2/POC1A/TUBB3",56
