"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030527","GO:0030527","structural constituent of chromatin","47/1355","98/18706",0.479591836734694,6.62084494314331,15.5901769006309,7.72586337917083e-28,6.93782531449541e-25,6.93782531449541e-25,"CENPA/H3C7/H3C11/H2BC6/H3C1/H3C10/H2AC11/H1-5/H2AC13/H4C12/H3C8/H3C2/H4C9/H2BC11/H1-1/H2BC7/H4C5/H2AC16/H2BC26/H2AC4/H2BC13/H1-6/H2BC17/H4C14/H2AC17/H2AC12/H3C12/H2BC18/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H1-3/H2AC20/HMGA1/H2BC10/H3C3/H4C2/H2BC12/H2AC25/H2BC14/H4C3/H2AZ1",47
"GO:0046982","GO:0046982","protein heterodimerization activity","60/1355","368/18706",0.16304347826087,2.25084229103161,6.77230845450453,2.38449338737475e-09,1.07063753093126e-06,1.07063753093126e-06,"PAFAH1B3/CENPA/H3C7/H3C11/H2BC6/APOA2/BIRC5/H3C1/H3C10/SYT5/H2AC11/PGLYRP3/H2AC13/GABBR2/H4C12/H3C8/KCNK9/H3C2/H4C9/H2BC11/H2BC7/H4C5/H2AC16/PGLYRP4/H2BC26/H2AC4/H2BC13/H2BC17/H4C14/AURKA/CENPW/FZD9/H2AC17/IL17F/H2AC12/H3C12/H2BC18/UGT1A6/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/SIM2/H2BC9/KCNK5/H2AC20/H2BC10/H3C3/H4C2/H2BC12/SOHLH1/H2AC25/H2BC14/H4C3/H2AZ1/IL12B/TOP2A",60
"GO:0005125","GO:0005125","cytokine activity","44/1355","241/18706",0.182572614107884,2.52044525424507,6.6388201220447,1.06686148955928e-08,3.19347205874746e-06,3.19347205874746e-06,"IL27/IL17C/SLURP1/IL21/IL11/CXCL11/INHBE/WNT10A/SPP1/CXCL17/TNFSF13B/IFNL4/CXCL5/IFNL3/CCL7/IFNB1/IL36G/CCL25/LTA/WNT7A/CCL17/IFNA10/CXCL10/SECTM1/IL17F/CCL11/IL36RN/IFNL1/IFNG/BMP8A/IFNL2/OSM/LTB/ALKAL1/CCL1/CRLF1/INHBA/IL37/WNT6/CXCL9/IL19/IL12B/CCL20/CXCL8",44
"GO:0030280","GO:0030280","structural constituent of skin epidermis","18/1355","62/18706",0.290322580645161,4.00795143435305,6.62953956108719,2.31480108363905e-07,5.19672843276967e-05,5.19672843276967e-05,"KRT86/KRT34/KRT3/KRT75/KRT16/KRT81/KRT6A/PI3/KRT2/KRT72/KRT6B/KRT20/KRT78/KRT85/KRT38/KRT6C/KRT9/KRT83",18
"GO:0001228","GO:0001228","DNA-binding transcription activator activity, RNA polymerase II-specific","61/1355","452/18706",0.134955752212389,1.86308656891879,5.19075823459478,1.77825026227809e-06,0.000319373747105144,0.000319373747105144,"NKX6-1/E2F2/E2F3/NKX2-5/SOX14/OTX2/FOXJ1/FOXA2/PDX1/SPIB/TLX1/MYBL1/FOXL2/TFAP2D/FOXD1/DMRT1/EGR4/WT1/MSGN1/HOXD13/MAFA/RAX/OTX1/SIX3/MYCN/FOXC2/SOX11/E2F1/PHOX2B/GRHL3/HOXC13/PAX6/POU3F2/SIX2/EN2/LHX2/SPIC/NR2E1/PITX1/TBX20/RBPJL/FOXH1/ONECUT2/ASCL2/LHX3/ZIC3/GBX2/PAX5/HOXC11/NKX2-2/DLX5/SOX2/POU4F1/TLX2/MYBL2/HOXC10/ZIC1/SCX/FOXP3/BARHL2/MYOD1",61
"GO:0030594","GO:0030594","neurotransmitter receptor activity","21/1355","94/18706",0.223404255319149,3.08413284132841,5.66081615999896,2.79796353953688e-06,0.000406490866900242,0.000406490866900242,"CHRND/HTR1A/GABRA5/GPR158/CHRNA6/CHRNG/GABRQ/HTR2C/GABRD/HTR3A/CHRNA9/CHRNA5/CHRM3/HRH3/HTR6/HTR3B/GABRA3/GRIN2D/HTR1D/CHRNB4/GABRA1",21
"GO:0001216","GO:0001216","DNA-binding transcription activator activity","61/1355","460/18706",0.132608695652174,1.83068506337237,5.04101199691069,3.16863704710656e-06,0.000406490866900242,0.000406490866900242,"NKX6-1/E2F2/E2F3/NKX2-5/SOX14/OTX2/FOXJ1/FOXA2/PDX1/SPIB/TLX1/MYBL1/FOXL2/TFAP2D/FOXD1/DMRT1/EGR4/WT1/MSGN1/HOXD13/MAFA/RAX/OTX1/SIX3/MYCN/FOXC2/SOX11/E2F1/PHOX2B/GRHL3/HOXC13/PAX6/POU3F2/SIX2/EN2/LHX2/SPIC/NR2E1/PITX1/TBX20/RBPJL/FOXH1/ONECUT2/ASCL2/LHX3/ZIC3/GBX2/PAX5/HOXC11/NKX2-2/DLX5/SOX2/POU4F1/TLX2/MYBL2/HOXC10/ZIC1/SCX/FOXP3/BARHL2/MYOD1",61
"GO:0031490","GO:0031490","chromatin DNA binding","27/1355","146/18706",0.184931506849315,2.55301016023859,5.26438918129241,5.55702240788374e-06,0.000578050991943925,0.000578050991943925,"CENPA/H3C7/H3C11/H3C1/H3C10/H1-5/H3C8/H3C2/H1-1/FOXC2/VAX1/INSM1/GRHL3/H1-6/PAX6/H3C12/HMGA2/ZIC2/VAX2/ZIC3/H1-3/H3C3/EZH2/ZIC1/TBR1/MYOD1/H2AZ1",27
"GO:0005179","GO:0005179","hormone activity","26/1355","138/18706",0.188405797101449,2.60097331408097,5.27505899899189,5.79338410634223e-06,0.000578050991943925,0.000578050991943925,"UTS2/INHBE/EDN2/VGF/ADM2/FBN3/GH2/GAST/GAL/UCN3/SCT/CCL25/PNOC/REG1A/AMH/FBN2/ERFE/CALCA/RETN/CALCB/CCK/NPY/INHBA/MLN/CSH2/RETNLB",26
"GO:0031492","GO:0031492","nucleosomal DNA binding","15/1355","59/18706",0.254237288135593,3.50978797923572,5.39566284360153,1.40380188294529e-05,0.00126061409088487,0.00126061409088487,"CENPA/H3C7/H3C11/H3C1/H3C10/H1-5/H3C8/H3C2/H1-1/H1-6/H3C12/HMGA2/H1-3/H3C3/H2AZ1",15
"GO:0004869","GO:0004869","cysteine-type endopeptidase inhibitor activity","12/1355","40/18706",0.3,4.14154981549815,5.55820505168244,1.64951820560328e-05,0.00128796321098408,0.00128796321098408,"CSTL1/BIRC5/SERPINB3/PTTG1/CST1/LCN1/CST6/PTTG3P/CARD18/AHSG/CST2/CST4",12
"GO:0017116","GO:0017116","single-stranded DNA helicase activity","9/1355","23/18706",0.391304347826087,5.40202149847585,5.9030847624524,1.72110896790746e-05,0.00128796321098408,0.00128796321098408,"POLQ/CHTF18/DSCC1/RFC4/DNA2/MCM2/MCM4/PIF1/RAD51",9
"GO:0008017","GO:0008017","microtubule binding","41/1355","287/18706",0.142857142857143,1.97216657880865,4.63804395548106,2.27263481159436e-05,0.00156986620062441,0.00156986620062441,"KIF18A/RACGAP1/DIAPH3/BIRC5/PSRC1/KNL1/MAST1/FTCD/KIF4B/SPC24/KIF26B/CENPF/FSD1/S100A8/SPAG5/PRC1/KIF4A/KIF1A/KIF20A/MAP7D2/GTSE1/SKA1/GAS2L3/KIF15/KIF18B/PLK1/KIF11/KIF23/NDC80/KIF2C/S100A9/KIF14/JAKMIP1/KIFC1/DLGAP5/CENPE/SACK1D/SKA3/GJB6/NUF2/NEFH",41
"GO:0034987","GO:0034987","immunoglobulin receptor binding","8/1355","19/18706",0.421052631578947,5.81270149543601,5.86519130876196,2.72248209062576e-05,0.00174627779812995,0.00174627779812995,"IGHE/CLEC4D/IGHG1/IGHG3/IGHG2/IGHG4/CR2/ADAM8",8
"GO:0004252","GO:0004252","serine-type endopeptidase activity","29/1355","178/18706",0.162921348314607,2.24915626684357,4.67949244249565,3.18591663082784e-05,0.0019073020896556,0.0019073020896556,"TMPRSS15/MMP11/MMP3/MMP10/PCSK9/PRSS1/F2/PROC/PRSS27/MMP12/MMP1/F12/PRSS33/KLK10/TMPRSS4/PRSS41/KLK15/PRSS3/KLK6/PRSS56/MMP7/GZMB/PRSS2/RHBDL2/CTSV/PCSK1/MMP9/MMP13/ADAM8",29
"GO:0008236","GO:0008236","serine-type peptidase activity","31/1355","197/18706",0.157360406091371,2.1723865360481,4.62273189770445,3.46437496660811e-05,0.0019443804500088,0.0019443804500088,"TMPRSS15/MMP11/MMP3/MMP10/PCSK9/PRSS1/F2/PROC/PRSS27/MMP12/MMP1/F12/PRSS33/DPP10/KLK10/TMPRSS4/PRSS41/KLK15/PRSS3/KLK6/PRSS56/MMP7/GZMB/PRSS2/RHBDL2/CTSV/PCSK1/MMP9/MMP13/FAM111B/ADAM8",31
