"","category","subcategory","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"hsa05322","Human Diseases","Immune disease","hsa05322","Systemic lupus erythematosus","45/643","134/8497",0.335820895522388,4.43774517768854,11.476575608409,1.38182636310426e-18,4.33893478014738e-16,4.33893478014738e-16,"H3C7/H3C11/H2BC6/H3C1/H3C10/H2AC11/H2AC13/H4C12/H3C8/CD80/H3C2/H4C9/H2BC11/H2BC7/H4C5/H2AC16/FCGR1A/H2BC26/H2AC4/H2BC13/H2BC17/H4C14/H2AC17/H2AC12/H3C12/IFNG/H2BC18/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H2AC20/H2BC10/H3C3/H4C2/H2BC12/H2AC25/H2AC14/H2BC14/H4C3/H2AZ1",45
"hsa05034","Human Diseases","Substance dependence","hsa05034","Alcoholism","50/643","186/8497",0.268817204301075,3.55231692837673,10.0700521994659,5.78509004100112e-16,9.08259136437175e-14,9.08259136437175e-14,"H3C7/H3C11/H2BC6/H3C1/H3C10/SHC4/H2AC11/GNG13/H2AC13/H4C12/H3C8/H3C2/H4C9/H2BC11/H2BC7/H4C5/H2AC16/H2BC26/H2AC4/H2BC13/H2BC17/H4C14/H2AC17/H2AC12/H3C12/H2BC18/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H2AC20/GNGT1/H2BC10/H3C3/NPY/H4C2/H2BC12/GNG4/CALML5/H2AC25/GRIN2D/H2AC14/H2BC14/H4C3/TH/H2AZ1",50
"hsa04613","Organismal Systems","Immune system","hsa04613","Neutrophil extracellular trap formation","46/643","188/8497",0.24468085106383,3.23336421693524,8.85995239860704,3.84361785556561e-13,4.02298668882534e-11,4.02298668882534e-11,"H3C7/H3C11/H2BC6/CLEC7A/CR1L/H3C1/H3C10/CAMP/H2AC11/H2AC13/H4C12/H3C8/H3C2/H4C9/H2BC11/H2BC7/H4C5/H2AC16/FCGR1A/H2BC26/H2AC4/H2BC13/H2BC17/H4C14/H2AC17/H2AC12/H3C12/H2BC18/H2AX/H4C13/H2BC3/H4C8/H2BC8/H4C4/H4C1/H2BC9/H2AC20/H2BC10/H3C3/H4C2/H2BC12/H2AC25/H2AC14/H2BC14/H4C3/H2AZ1",46
"hsa04110","Cellular Processes","Cell growth and death","hsa04110","Cell cycle","41/643","158/8497",0.259493670886076,3.42910998681025,8.81832348117456,9.61585896653608e-13,7.54844928873082e-11,7.54844928873082e-11,"E2F2/E2F3/CDKN2A/CDC6/SMC1B/CCNA2/KNL1/CCNE1/TICRR/CDC45/ESPL1/SGO1/CDC20/TRIP13/CDC25B/AURKB/PTTG1/CDC7/CCNE2/TTK/MAD2L1/CCNA1/E2F1/ORC6/BUB1/PKMYT1/CCNB1/CDCA5/CDT1/CDC25A/CDK1/PLK1/ORC1/MCM2/CCNB2/NDC80/CHEK1/BUB1B/MCM4/CDC25C/ESCO2",41
"hsa04080","Environmental Information Processing","Signaling molecules and interaction","hsa04080","Neuroactive ligand-receptor interaction","64/643","363/8497",0.176308539944904,2.32985017715684,7.40919856303884,7.72033197267383e-11,4.84836847883917e-09,4.84836847883917e-09,"CHRND/KISS1/SLURP1/P2RX5/RXFP3/P2RY6/GRM4/UTS2/HTR1A/GHRHR/EDN2/GABRA5/HCRTR2/VGF/OPRK1/CHRNA6/CHRNG/PAQR6/ADM2/CCKBR/GABBR2/NPFFR1/PRSS1/GABRQ/GPR156/GRM8/GH2/HTR2C/KISS1R/NPBWR1/CNR2/GABRD/GAL/CHRNA9/UCN3/CHRNA5/SCT/CHRM3/F2/NMU/HRH3/PNOC/MCHR2/NTSR1/GALR2/HTR6/QRFPR/PRSS3/CALCA/OPRD1/CALCB/CCK/RXFP1/PRSS2/GABRA3/NPY/GRIN2D/NPW/HTR1D/MLN/CSH2/CHRNB4/AVPR1B/GABRA1",64
"hsa04060","Environmental Information Processing","Signaling molecules and interaction","hsa04060","Cytokine-cytokine receptor interaction","49/643","292/8497",0.167808219178082,2.21752167707024,6.05753769197482,7.42646378523073e-08,3.88651604760408e-06,3.88651604760408e-06,"IL27/IL17C/IL21/IL11/CCR8/CXCL11/INHBE/CXCR3/IL1R2/CXCL17/IL21R/TNFSF13B/CXCL5/RELT/IFNL3/GH2/CCL7/IFNB1/TNFRSF18/TNFRSF9/IL36G/CCL25/LTA/CCL17/IFNA10/CXCL10/IL31RA/AMH/IL17F/CCR7/CCL11/IL36RN/IFNL1/IFNG/BMP8A/IL12RB2/IFNL2/OSM/LTB/CCL1/INHBA/IL37/CSH2/CXCR5/CXCL9/IL19/IL12B/CCL20/CXCL8",49
"hsa04382","Organismal Systems","Development and regeneration","hsa04382","Cornified envelope formation","38/643","212/8497",0.179245283018868,2.36865811790252,5.77409522162086,4.13519514514712e-07,1.85493039368028e-05,1.85493039368028e-05,"SPRR1B/KRT86/CLDN10/CASP14/KRT34/KRT3/KRT75/TCHHL1/KRT16/KRT81/SPRR2D/S100A8/TMEM79/S100A7A/SPRR4/S100A2/PADI1/CLDN14/IVL/S100A14/KRT6A/KRT2/S100A7/KRT72/CLDN6/KRT6B/KRT20/KRT78/KRT85/CLDN9/S100A9/PADI3/KRT38/KRT6C/KRT9/PPP2R2C/EPHX3/KRT83",38
"hsa04657","Organismal Systems","Immune system","hsa04657","IL-17 signaling pathway","22/643","94/8497",0.234042553191489,3.09278316402502,5.8376528861395,1.32366421318581e-06,5.19538203675431e-05,5.19538203675431e-05,"IL17C/MMP3/CXCL5/CCL7/S100A8/MAPK15/S100A7A/CCL17/CXCL10/MMP1/IL17F/CCL11/S100A7/LCN2/IFNG/MUC5AC/S100A9/MUC5B/MMP9/MMP13/CCL20/CXCL8",22
"hsa04082","Environmental Information Processing","Signaling molecules and interaction","hsa04082","Neuroactive ligand signaling","34/643","199/8497",0.170854271356784,2.25777409598537,5.13700228563583,5.1342449824271e-06,0.000179128102720234,0.000179128102720234,"SLC18A3/P2RX5/P2RY6/SLC6A11/GRM4/HTR1A/GABRA5/OPRK1/CHRNA6/SLC32A1/GNG13/GABBR2/GABRQ/GRM8/HTR2C/GABRD/HTR3A/SLC17A9/CHRM3/HRH3/PNOC/CHAT/HTR6/HTR3B/SLC6A9/OPRD1/GABRA3/SLC1A6/GNGT1/GNG4/GRIN2D/HTR1D/CHRNB4/GABRA1",34
"hsa05203","Human Diseases","Cancer: overview","hsa05203","Viral carcinogenesis","33/643","203/8497",0.16256157635468,2.14818929126861,4.73747340928958,2.06986848460435e-05,0.000649938704165765,0.000649938704165765,"H2BC6/CCR8/CDKN2A/CCNA2/CCNE1/CDC20/H4C12/H4C9/H2BC11/CCNE2/H2BC7/H4C5/CCNA1/H2BC26/H2BC13/H2BC17/H4C14/CDK1/H2BC18/H4C13/H2BC3/H4C8/H2BC8/RBPJL/CHEK1/H4C4/H4C1/H2BC9/H2BC10/H4C2/H2BC12/H2BC14/H4C3",33
